Registro temporal para frecuencia de muestreo cada 12 Hrs min, Temperatura_Celsius,Humedad_relativa
2023-07-31 03:32:00,31,51.9
2023-07-31 15:32:00,27.5,34.8
2023-08-01 03:32:00,30.5,51.5
2023-08-01 15:32:00,27.3,34.8
2023-08-02 03:32:00,30.8,54.8
2023-08-02 15:32:00,27,33.8
2023-08-03 03:32:00,30.2,46.9
2023-08-03 15:32:00,28.5,42.1
2023-08-04 03:32:00,29.6,48.7
2023-08-04 15:32:00,27.6,34.7
2023-08-05 03:32:00,28.5,36
2023-08-05 15:32:00,30.2,51.8
2023-08-06 03:32:00,30.8,52.8
2023-08-06 15:32:00,25.3,36.6
2023-08-07 03:32:00,27.5,35.6
2023-08-07 15:32:00,25.3,36.3
2023-08-08 03:32:00,25.6,34.7
2023-08-08 15:32:00,24.5,36.1
2023-08-09 03:32:00,25,35.8
2023-08-09 15:32:00,24.5,42.7
2023-08-10 03:32:00,26,45.2
2023-08-10 15:32:00,26.6,46.8
2023-08-11 03:32:00,25.5,37.8
2023-08-11 15:32:00,24.7,42.8
2023-08-12 03:32:00,25.4,35.6
2023-08-12 15:32:00,25.5,51.1
2023-08-13 03:32:00,25.2,36.3
2023-08-13 15:32:00,26.7,54.6
2023-08-14 03:32:00,25.1,36.2
2023-08-14 15:32:00,27.9,57.5
2023-08-15 03:32:00,25.3,36.8
2023-08-15 15:32:00,28.7,48.1
2023-08-16 03:32:00,24.8,33.3
2023-08-16 15:32:00,25.3,39.6
2023-08-17 03:32:00,24.5,34.7
2023-08-17 15:32:00,25.4,39.1
2023-08-18 03:32:00,24.8,39
2023-08-18 15:32:00,29.8,38.4
2023-08-19 03:32:00,27.6,37.9
2023-08-19 15:32:00,25.3,40.7
2023-08-20 03:32:00,23.5,34.2
2023-08-20 15:32:00,24.2,36.8
2023-08-21 03:32:00,25.9,34
2023-08-21 15:32:00,27.4,50.9
2023-08-22 03:32:00,25.8,34.3
2023-08-22 15:32:00,27.2,47.3
2023-08-23 03:32:00,27.3,45.9
2023-08-23 15:32:00,26.1,41.7
2023-08-24 03:32:00,24.1,34.4
2023-08-24 15:32:00,26,44.9
2023-08-25 03:32:00,25.4,35
2023-08-25 15:32:00,26.4,41.6
2023-08-26 03:32:00,25.6,31.4
2023-08-26 15:32:00,29.1,50.1
2023-08-27 03:32:00,25.2,35.6
2023-08-27 15:32:00,27.6,41.5
2023-08-28 03:32:00,25.8,37.6
2023-08-28 15:32:00,26.8,45.2
2023-08-29 03:32:00,26.2,36.4
2023-08-29 15:32:00,27.3,51.7
2023-08-30 03:32:00,27.2,41
2023-08-30 15:32:00,25.4,39.8
2023-08-31 03:32:00,27.2,39.4
2023-08-31 15:32:00,25,39.9
2023-09-01 03:32:00,25.8,34.9
2023-09-01 15:32:00,26.3,40.6
2023-09-02 03:32:00,26.4,40.1
2023-09-02 15:32:00,27.7,42.7
2023-09-03 03:32:00,26.2,33.2
2023-09-03 15:32:00,24.4,33.1
2023-09-04 03:32:00,27.9,43.8
2023-09-04 15:32:00,26.1,39.9
2023-09-05 03:32:00,25.8,35.1
2023-09-05 15:32:00,26.5,36.6
2023-09-06 03:32:00,26.2,35.1
2023-09-06 15:32:00,27,44.1
2023-09-07 03:32:00,30,56.1
2023-09-07 15:32:00,30.5,49.7
2023-09-08 03:32:00,30.9,56.5
2023-09-08 15:32:00,30.4,39.3
2023-09-09 03:32:00,30.8,51.6
2023-09-09 15:32:00,30.3,40.3
2023-09-10 03:32:00,31.2,47.3
2023-09-10 15:32:00,30.4,32.5
2023-09-11 03:32:00,31.8,53.7
2023-09-11 15:32:00,30.3,34.1
2023-09-12 03:32:00,31.2,46.2
2023-09-12 15:32:00,30,43.1
2023-09-13 03:32:00,30.5,54.4
2023-09-13 15:32:00,30.3,42.9
2023-09-14 03:32:00,30.8,54.2
2023-09-14 15:32:00,32,49.6
2023-09-15 03:32:00,31.4,52
2023-09-15 15:32:00,32.6,48.2
2023-09-16 03:32:00,31.1,60.4
2023-09-16 15:32:00,26.8,41.5
2023-09-17 03:32:00,28.7,61.5
2023-09-17 15:32:00,26,43.8
2023-09-18 03:32:00,27.3,62.6
2023-09-18 15:32:00,26,41
2023-09-19 03:32:00,27.5,61.7
2023-09-19 15:32:00,27.4,39.8
2023-09-20 03:32:00,28.1,62.3
2023-09-20 15:32:00,28.9,55.4
2023-09-21 03:32:00,27.9,56.3
2023-09-21 15:32:00,29.5,54.9
2023-09-22 03:32:00,28.4,56.7
2023-09-22 15:32:00,29.8,53.7
2023-09-23 03:32:00,29.3,59.2
